project_id,project_name,state,district,mp_name,project_type,sanctioned_amount,released_amount,utilized_amount,completion_percentage,sanction_date,start_date,expected_completion_date,actual_completion_date,latitude,longitude,contractor,agency,status,synthetic_scenario,ground_truth_anomaly,financial_progress_ratio,progress_gap,planned_duration_days
P00254,Street Lighting Project 0254,Kerala,Kollam,MP_345,Street Lighting,1188000.0,1182000.0,1182000.0,100.0,2024-03-04,2024-03-14,2024-11-23,2024-12-05,8.899827,76.595669,Contractor_021,Agency_20,Completed,normal,0,0.995,-0.5,264
P00255,Street Lighting Project 0255,Telangana,Warangal,MP_403,Street Lighting,1015000.0,613000.0,317000.0,32.9,2024-02-22,2024-03-03,2024-11-26,,18.037594,79.497614,Contractor_013,Agency_18,Delayed,normal,0,0.312,-1.7,278
P00256,Community Hall Project 0256,Karnataka,Belagavi,MP_240,Community Hall,1085000.0,870000.0,835000.0,26.56270457766295,2024-02-03,2024-02-13,2024-07-26,,15.84364,74.572271,Contractor_037,Agency_02,In Progress,progress_mismatch,1,0.77,50.4,174
P00257,Sports Facility Project 0257,Rajasthan,Kota,MP_405,Sports Facility,2400000.0,1822000.0,1577000.0,60.1,2026-04-13,2026-04-23,2026-12-31,,25.103146,75.908964,Contractor_013,Agency_17,Delayed,normal,0,0.657,5.6,262
P00258,Health Facility Project 0845 - Similar Work,West Bengal,Darjeeling,MP_433,Health Facility,2949000.0,1981000.0,1981000.0,100.0,2025-06-30,2025-07-10,2025-11-29,2026-01-28,27.016533,88.246057,Contractor_046,Agency_05,Completed,duplicate,1,0.672,-32.8,152
P00259,Sports Facility Project 0259,Maharashtra,Nashik,MP_238,Sports Facility,848000.0,759000.0,591000.0,72.2,2024-07-16,2024-07-26,2025-01-13,,19.937734,73.851547,Contractor_017,Agency_19,In Progress,normal,0,0.697,-2.5,181
P00260,Sports Facility Project 0260,Tamil Nadu,Madurai,MP_175,Sports Facility,2420000.0,1830000.0,1830000.0,84.3,2025-01-01,2025-01-11,2025-06-10,,9.858827,78.101909,Contractor_051,Agency_09,In Progress,normal,0,0.756,-8.7,160
P00261,Community Hall Project 0261,Odisha,Ganjam,MP_138,Community Hall,1109000.0,920000.0,283000.0,29.9,2026-03-02,2026-03-12,2026-10-20,,19.310431,84.779139,Contractor_009,Agency_09,In Progress,normal,0,0.255,-4.4,232
P00262,Drinking Water Project 0262,Maharashtra,Nashik,MP_302,Drinking Water,5784000.0,5784000.0,5078000.0,89.2,2024-01-01,2024-01-11,2024-09-01,,19.997979,73.799653,Contractor_024,Agency_03,In Progress,financial,1,0.878,-1.4,244
P00263,School Building Project 0263,West Bengal,Kolkata,MP_049,School Building,5916000.0,4898000.0,2399000.0,35.4,2024-05-04,2024-05-14,2025-03-31,,22.642908,88.337933,Contractor_034,Agency_09,In Progress,normal,0,0.406,5.2,331
P00264,Drinking Water Project 0264,Andhra Pradesh,Krishna,MP_533,Drinking Water,798000.0,797000.0,614000.0,73.7,2026-03-02,2026-03-12,2026-09-06,,16.52164,80.648616,Contractor_037,Agency_15,In Progress,normal,0,0.769,3.2,188
P00265,Drinking Water Project 0265,Rajasthan,Jaipur,MP_470,Drinking Water,1847000.0,1395000.0,1170000.0,68.6,2025-03-29,2025-04-08,2025-09-19,,26.868911,75.803588,Contractor_034,Agency_01,In Progress,normal,0,0.633,-5.3,174
P00266,Road Project 0266,Rajasthan,Jaipur,MP_201,Road,932000.0,760000.0,760000.0,85.9,2025-07-27,2025-08-06,2026-03-30,,26.887582,75.873007,Contractor_055,Agency_12,In Progress,normal,0,0.815,-4.4,246
P00267,Sports Facility Project 0267,West Bengal,Malda,MP_007,Sports Facility,1785000.0,1240000.0,797000.0,48.4,2025-07-20,2025-07-30,2026-05-22,,24.994986,88.259576,Contractor_060,Agency_04,In Progress,normal,0,0.446,-3.8,306
P00268,Health Facility Project 0268,Odisha,Cuttack,MP_085,Health Facility,2298000.0,2089000.0,2089000.0,97.1,2024-12-21,2024-12-31,2026-01-21,2026-03-25,20.3494,85.892051,Contractor_048,Agency_11,Completed,normal,0,0.909,-6.2,396
P00269,Street Lighting Project 0269,Andhra Pradesh,Krishna,MP_534,Street Lighting,314000.0,208000.0,198000.0,58.0,2024-05-13,2024-05-23,2025-03-15,,16.490011,80.7436,Contractor_056,Agency_11,In Progress,normal,0,0.631,5.1,306
P00270,Health Facility Project 0270,Maharashtra,Nagpur,MP_071,Health Facility,3295000.0,2084000.0,2073000.0,60.2,2024-08-28,2024-09-07,2025-02-17,,21.03876,79.159192,Contractor_012,Agency_14,Delayed,normal,0,0.629,2.7,173
P00271,School Building Project 0271,Odisha,Ganjam,MP_334,School Building,5438000.0,4492000.0,3821000.0,79.9,2025-08-31,2025-09-10,2026-07-23,,19.217192,84.731764,Contractor_058,Agency_11,Delayed,normal,0,0.703,-9.6,326
P00272,School Building Project 0272,Gujarat,Ahmedabad,MP_310,School Building,5059000.0,4654000.0,4654000.0,91.8,2025-06-02,2025-06-12,2026-06-13,,22.923203,72.634748,Contractor_052,Agency_20,In Progress,normal,0,0.92,0.2,376
P00273,Street Lighting Project 0273,West Bengal,Kolkata,MP_426,Street Lighting,1013000.0,669000.0,294000.0,33.1,2025-12-05,2025-12-15,2026-07-13,,22.680522,88.255614,Contractor_046,Agency_16,In Progress,normal,0,0.29,-4.1,220
P00274,Community Hall Project 0274,Karnataka,Mysuru,MP_522,Community Hall,3286000.0,2840000.0,2839000.0,81.3,2026-01-25,2026-02-04,2027-01-03,,12.339538,76.719839,Contractor_031,Agency_08,In Progress,contractor_pattern,1,0.864,5.1,343
P00275,Street Lighting Project 0275,Maharashtra,Nashik,MP_473,Street Lighting,985000.0,681000.0,681000.0,74.5,2025-02-07,2025-02-17,2026-02-12,,20.078845,73.724966,Contractor_023,Agency_02,In Progress,normal,0,0.691,-5.4,370
P00276,Community Hall Project 0276,Maharashtra,Nagpur,MP_102,Community Hall,3956000.0,3433000.0,3369000.0,100.0,2024-07-14,2024-07-24,2025-01-19,2025-02-20,21.158728,79.015602,Contractor_041,Agency_16,Completed,normal,0,0.852,-14.8,189
P00277,Community Hall Project 0277,Tamil Nadu,Coimbatore,MP_137,Community Hall,3926000.0,2974000.0,2974000.0,69.2,2025-09-29,2025-10-09,2026-09-14,,10.94354,76.855059,Contractor_002,Agency_16,In Progress,normal,0,0.758,6.6,350
P00278,Sports Facility Project 0278,Odisha,Ganjam,MP_329,Sports Facility,2120000.0,1311000.0,1311000.0,100.0,2025-02-25,2025-03-07,2025-08-10,2025-10-19,19.378316,84.85193,Contractor_020,Agency_08,Completed,normal,0,0.618,-38.2,166
P00279,Sports Facility Project 0279,Telangana,Warangal,MP_531,Sports Facility,1118000.0,983000.0,860000.0,90.0,2024-12-14,2024-12-24,2025-09-05,,17.985008,79.653648,Contractor_001,Agency_19,In Progress,normal,0,0.769,-13.1,265
P00280,Road Project 0280,Odisha,Cuttack,MP_363,Road,10003000.0,10003000.0,9105000.0,88.3,2025-06-03,2025-06-13,2025-11-22,,20.429859,85.852579,Contractor_056,Agency_05,In Progress,financial,1,0.91,2.7,172
P00281,Health Facility Project 0281,Tamil Nadu,Coimbatore,MP_531,Health Facility,4676000.0,4413000.0,3116000.0,60.3,2025-04-09,2025-04-19,2025-11-13,,11.021586,76.982144,Contractor_020,Agency_08,Delayed,normal,0,0.666,6.3,218
P00282,School Building Project 0282,Odisha,Cuttack,MP_353,School Building,5789000.0,3693000.0,3339000.0,60.76385100091733,2024-05-24,2024-06-03,2024-11-25,2025-07-27,20.460991,85.802694,Contractor_027,Agency_04,Delayed,delay,1,0.577,-3.1,185
P00283,School Building Project 0283,Telangana,Karimnagar,MP_348,School Building,2648000.0,2304000.0,1837000.0,70.4,2024-09-13,2024-09-23,2025-05-17,,18.44572,79.095707,Contractor_060,Agency_06,In Progress,normal,0,0.694,-1.0,246
P00284,Sports Facility Project 0284,Odisha,Khordha,MP_298,Sports Facility,1462000.0,1103000.0,1103000.0,93.9,2024-10-09,2024-10-19,2025-04-07,,20.067024,85.727301,Contractor_008,Agency_09,In Progress,normal,0,0.754,-18.5,180
P00285,Drinking Water Project 0285,Karnataka,Dharwad,MP_032,Drinking Water,586000.0,513000.0,494000.0,76.4,2024-03-24,2024-04-03,2024-12-24,,15.353004,75.065225,Contractor_036,Agency_04,In Progress,normal,0,0.843,7.9,275
P00286,Road Project 0286,Tamil Nadu,Salem,MP_473,Road,2619000.0,2194000.0,1043000.0,37.4,2024-02-24,2024-03-05,2024-07-11,,11.551977,78.057061,Contractor_019,Agency_08,In Progress,normal,0,0.398,2.4,138
P00287,Community Hall Project 0287,Rajasthan,Jaipur,MP_172,Community Hall,1995000.0,1160000.0,1160000.0,60.5,2024-06-07,2024-06-17,2025-02-05,,27.018314,75.85785,Contractor_004,Agency_15,In Progress,normal,0,0.581,-2.4,243
P00288,Road Project 0288,Telangana,Nizamabad,MP_543,Road,1012000.0,642000.0,642000.0,63.04859102706747,2025-08-10,2025-08-20,2026-02-14,2027-06-03,18.593321,78.053908,Contractor_029,Agency_14,Delayed,delay,1,0.634,0.4,188
P00289,Road Project 0289,Maharashtra,Pune,MP_142,Road,1602000.0,884000.0,884000.0,73.0,2026-01-06,2026-01-16,2026-12-12,,18.493749,73.769362,Contractor_060,Agency_02,In Progress,normal,0,0.552,-17.8,340
P00290,School Building Project 0290,Gujarat,Vadodara,MP_305,School Building,2145000.0,1458000.0,1055000.0,57.3,2026-01-04,2026-01-14,2026-06-23,,22.33234,73.234701,Contractor_016,Agency_12,In Progress,normal,0,0.492,-8.1,170
P00291,Drinking Water Project 0291,Kerala,Ernakulam,MP_358,Drinking Water,2364000.0,2110000.0,2110000.0,81.1,2024-05-11,2024-05-21,2025-04-10,,9.977449,76.334691,Contractor_015,Agency_02,In Progress,normal,0,0.893,8.2,334
P00292,Sports Facility Project 0292,Karnataka,Bengaluru Urban,MP_081,Sports Facility,1509000.0,1306000.0,1299000.0,83.8,2024-03-22,2024-04-01,2025-01-28,,12.956855,77.611183,Contractor_005,Agency_07,Delayed,normal,0,0.861,2.3,312
P00293,Drinking Water Project 0293,Rajasthan,Jodhpur,MP_373,Drinking Water,2020000.0,1743000.0,1705000.0,77.3,2025-11-21,2025-12-01,2027-01-08,,26.302941,73.010844,Contractor_011,Agency_09,In Progress,normal,0,0.844,7.1,413
P00294,Road Project 0294,Karnataka,Bengaluru Urban,MP_157,Road,1020000.0,636000.0,636000.0,70.9,2025-03-16,2025-03-26,2025-09-01,,12.892362,77.537698,Contractor_057,Agency_12,In Progress,normal,0,0.624,-8.5,169
P00295,Health Facility Project 0642 - Similar Work,West Bengal,Malda,MP_484,Health Facility,1459000.0,1168000.0,1168000.0,87.1,2024-09-11,2024-09-21,2025-06-30,,25.049611,88.045998,Contractor_025,Agency_06,In Progress,duplicate,1,0.801,-7.0,292
P00296,Street Lighting Project 0296,Gujarat,Surat,MP_024,Street Lighting,1265000.0,753000.0,727000.0,56.3,2024-02-01,2024-02-11,2024-07-04,,21.114464,72.822298,Contractor_046,Agency_10,In Progress,contractor_pattern,1,0.575,1.2,154
P00297,Road Project 0297,Rajasthan,Jodhpur,MP_528,Road,1215000.0,1086000.0,499000.0,46.0,2024-07-12,2024-07-22,2025-08-15,,26.327882,73.06816,Contractor_035,Agency_15,In Progress,normal,0,0.411,-4.9,399
P00298,School Building Project 0298,Kerala,Kollam,MP_019,School Building,3900000.0,2713000.0,2713000.0,46.9889771922216,2025-02-14,2025-02-24,2025-10-18,2026-06-21,8.999833,76.690515,Contractor_051,Agency_13,Delayed,delay,1,0.696,22.6,246
P00299,Road Project 0299,Telangana,Nizamabad,MP_319,Road,998000.0,744000.0,744000.0,82.3,2024-12-23,2025-01-02,2025-11-18,,18.642243,78.127657,Contractor_023,Agency_16,Delayed,normal,0,0.745,-7.8,330
P00300,Sports Facility Project 0300,Gujarat,Surat,MP_550,Sports Facility,761000.0,741000.0,366000.0,51.9,2025-02-11,2025-02-21,2026-02-23,,21.287202,72.941198,Contractor_013,Agency_01,In Progress,normal,0,0.481,-3.8,377
P00301,Community Hall Project 0301,Tamil Nadu,Madurai,MP_161,Community Hall,3800000.0,3692000.0,3304000.0,84.0,2024-03-01,2024-03-11,2024-10-21,,9.961982,78.137812,Contractor_006,Agency_02,In Progress,normal,0,0.869,2.9,234
P00302,Community Hall Project 0302,West Bengal,Howrah,MP_466,Community Hall,2302000.0,1999000.0,1269000.0,53.4,2024-01-11,2024-01-21,2024-06-15,,22.584556,88.233692,Contractor_035,Agency_05,In Progress,normal,0,0.551,1.7,156
P00303,Drinking Water Project 0303,Telangana,Karimnagar,MP_289,Drinking Water,552000.0,364000.0,364000.0,100.0,2024-08-21,2024-08-31,2025-03-09,2025-04-18,18.405297,79.030023,Contractor_012,Agency_07,Completed,normal,0,0.659,-34.1,200
P00304,Community Hall Project 0304,West Bengal,Malda,MP_325,Community Hall,1311000.0,1018000.0,929000.0,65.1,2024-05-13,2024-05-23,2024-09-25,,25.070905,88.215773,Contractor_032,Agency_03,In Progress,normal,0,0.709,5.8,135
P00305,Road Project 0305,Rajasthan,Jaipur,MP_373,Road,1890000.0,1343000.0,1232000.0,16.916996330460943,2024-10-06,2024-10-16,2025-07-09,,26.79977,75.716018,Contractor_017,Agency_12,In Progress,progress_mismatch,1,0.652,48.3,276
P00306,Road Project 0306,Rajasthan,Udaipur,MP_243,Road,1527000.0,1317000.0,914000.0,67.2,2024-09-24,2024-10-04,2025-04-24,,24.508087,73.618364,Contractor_001,Agency_04,In Progress,normal,0,0.599,-7.3,212
P00307,Health Facility Project 0307,Maharashtra,Nashik,MP_158,Health Facility,1041000.0,1001000.0,1001000.0,100.0,2024-12-26,2025-01-05,2025-04-05,2025-10-26,20.106668,73.736495,Contractor_032,Agency_05,Completed,normal,0,0.962,-3.8,100
P00308,Sports Facility Project 0308,Kerala,Thrissur,MP_385,Sports Facility,2872000.0,2147000.0,1745000.0,68.2,2025-04-11,2025-04-21,2025-11-18,,10.493254,76.24059,Contractor_055,Agency_19,In Progress,contractor_pattern,1,0.608,-7.4,221
P00309,Health Facility Project 0309,Rajasthan,Jaipur,MP_288,Health Facility,3768000.0,3171000.0,3171000.0,89.1,2024-04-03,2024-04-13,2024-11-24,,26.862378,75.839908,Contractor_025,Agency_11,In Progress,normal,0,0.842,-4.9,235
P00310,Sports Facility Project 0310,Maharashtra,Nagpur,MP_030,Sports Facility,932000.0,789000.0,700000.0,27.190742814022755,2025-03-06,2025-03-16,2025-11-28,,21.068757,79.010255,Contractor_004,Agency_16,In Progress,progress_mismatch,1,0.751,47.9,267
P00311,Road Project 0311,West Bengal,Kolkata,MP_085,Road,2694000.0,1897000.0,1749000.0,66.9,2025-12-23,2026-01-02,2026-07-15,,22.584935,88.342419,Contractor_042,Agency_19,In Progress,normal,0,0.649,-2.0,204
P00312,Health Facility Project 0312,Tamil Nadu,Salem,MP_181,Health Facility,3230000.0,3208000.0,1919000.0,58.3,2025-04-23,2025-05-03,2026-06-13,,11.61632,78.070298,Contractor_019,Agency_06,In Progress,normal,0,0.594,1.1,416
P00313,Road Project 0313,West Bengal,Kolkata,MP_417,Road,1602000.0,1515000.0,1110000.0,65.8,2024-02-04,2024-02-14,2024-12-20,,22.496351,88.280688,Contractor_049,Agency_12,In Progress,normal,0,0.693,3.5,320
P00314,Road Project 0314,Odisha,Khordha,MP_012,Road,2980000.0,2688000.0,1696000.0,50.8,2024-01-30,2024-02-09,2024-05-09,,20.223406,85.69667,Contractor_021,Agency_01,In Progress,normal,0,0.569,6.1,100
P00315,Health Facility Project 0315,Maharashtra,Nagpur,MP_532,Health Facility,4172000.0,3458000.0,2391000.0,60.8,2025-09-30,2025-10-10,2026-09-16,,21.202341,78.99522,Contractor_029,Agency_09,In Progress,normal,0,0.573,-3.5,351
P00316,Street Lighting Project 0316,Maharashtra,Nashik,MP_244,Street Lighting,1292000.0,1239000.0,1064000.0,80.8,2025-01-02,2025-01-12,2025-07-04,,19.998531,73.746958,Contractor_033,Agency_14,Delayed,normal,0,0.824,1.6,183
P00317,School Building Project 0317,Andhra Pradesh,Visakhapatnam,MP_336,School Building,4858000.0,3128000.0,3128000.0,71.1,2025-07-28,2025-08-07,2026-04-18,,17.797275,83.189796,Contractor_045,Agency_16,In Progress,normal,0,0.644,-6.7,264
P00318,Community Hall Project 0318,Maharashtra,Nagpur,MP_395,Community Hall,2242000.0,1809000.0,1689000.0,72.2,2025-12-27,2026-01-06,2027-02-09,,21.206984,79.166675,Contractor_037,Agency_14,In Progress,normal,0,0.753,3.1,409
P00319,Drinking Water Project 0319,Tamil Nadu,Coimbatore,MP_416,Drinking Water,1915000.0,1905000.0,1905000.0,100.0,2026-03-26,2026-04-05,2027-04-14,2027-04-14,10.952641,77.070939,Contractor_049,Agency_16,Completed,normal,0,0.995,-0.5,384
P00320,Street Lighting Project 0320,Kerala,Thrissur,MP_060,Street Lighting,432000.0,312000.0,311000.0,73.4,2026-01-08,2026-01-18,2026-11-18,,10.486257,76.167449,Contractor_030,Agency_01,In Progress,normal,0,0.72,-1.4,314
P00321,Road Project 0321,Gujarat,Ahmedabad,MP_326,Road,1162000.0,1008000.0,938000.0,87.9,2025-02-06,2025-02-16,2025-12-28,,23.014748,72.460197,Contractor_044,Agency_11,In Progress,normal,0,0.807,-7.2,325
P00322,Drinking Water Project 0322,Kerala,Kollam,MP_063,Drinking Water,1160000.0,884000.0,884000.0,82.8,2024-07-10,2024-07-20,2024-11-30,,8.979521,76.608556,Contractor_017,Agency_07,In Progress,normal,0,0.762,-6.6,143
P00323,School Building Project 0323,Andhra Pradesh,Visakhapatnam,MP_283,School Building,5096000.0,3945000.0,3945000.0,85.4,2024-09-05,2024-09-15,2025-04-24,,17.675907,83.17859,Contractor_054,Agency_04,Delayed,normal,0,0.774,-8.0,231
P00324,Community Hall Project 0324,Karnataka,Dharwad,MP_420,Community Hall,3582000.0,2748000.0,2748000.0,88.1,2025-11-21,2025-12-01,2026-04-19,,15.512094,74.935853,Contractor_017,Agency_07,In Progress,normal,0,0.767,-11.4,149
P00325,Road Project 0325,Kerala,Kozhikode,MP_436,Road,1365000.0,1209000.0,1209000.0,95.7,2025-11-28,2025-12-08,2026-09-20,2026-10-11,11.307439,75.794378,Contractor_054,Agency_17,Completed,normal,0,0.886,-7.1,296
P00326,Road Project 0326,Gujarat,Surat,MP_444,Road,2515000.0,1714000.0,1714000.0,84.0,2025-02-15,2025-02-25,2025-07-30,,21.143118,72.941647,Contractor_035,Agency_18,In Progress,normal,0,0.682,-15.8,165
P00327,Community Hall Project 0327,West Bengal,Malda,MP_122,Community Hall,2315000.0,1572000.0,1572000.0,70.7,2026-03-19,2026-03-29,2027-05-08,,25.031106,88.217413,Contractor_015,Agency_05,In Progress,normal,0,0.679,-2.8,415
P00328,School Building Project 0328,Odisha,Khordha,MP_332,School Building,4452000.0,3105000.0,1895000.0,38.1,2024-07-10,2024-07-20,2025-08-06,,20.135816,85.644212,Contractor_051,Agency_07,In Progress,normal,0,0.426,4.5,392
P00329,Drinking Water Project 0329,Karnataka,Dharwad,MP_309,Drinking Water,1055000.0,794000.0,599000.0,54.1,2025-06-12,2025-06-22,2025-12-31,,15.375201,74.925814,Contractor_009,Agency_04,In Progress,normal,0,0.568,2.7,202
P00330,Health Facility Project 0330,Karnataka,Bengaluru Urban,MP_453,Health Facility,16573000.0,16573000.0,15306000.0,55.7,2026-03-31,2026-04-10,2027-01-02,,12.89136,77.707518,Contractor_039,Agency_06,In Progress,financial,1,0.924,36.7,277
P00331,Road Project 0331,West Bengal,Kolkata,MP_215,Road,1188000.0,681000.0,681000.0,74.5,2025-11-24,2025-12-04,2026-05-11,,22.616259,88.273838,Contractor_057,Agency_05,Delayed,normal,0,0.573,-17.2,168
P00332,Drinking Water Project 0332,Gujarat,Surat,MP_484,Drinking Water,1135000.0,667000.0,667000.0,58.90690496085737,2024-06-21,2024-07-01,2025-04-29,2025-10-31,21.100593,72.932795,Contractor_029,Agency_18,Delayed,delay,1,0.588,-0.1,312
P00333,Community Hall Project 0333,Karnataka,Belagavi,MP_317,Community Hall,2259000.0,1457000.0,1457000.0,73.7,2024-07-23,2024-08-02,2024-11-25,,15.90995,74.583593,Contractor_003,Agency_07,Delayed,normal,0,0.645,-9.2,125
P00334,Health Facility Project 0334,Gujarat,Rajkot,MP_406,Health Facility,2288000.0,1847000.0,1622000.0,81.9,2026-01-16,2026-01-26,2026-05-06,,22.191069,70.708506,Contractor_006,Agency_04,In Progress,normal,0,0.709,-11.0,110
P00335,Street Lighting Project 0335,West Bengal,Kolkata,MP_331,Street Lighting,1443000.0,1193000.0,914000.0,73.5,2024-10-22,2024-11-01,2025-04-08,,22.664513,88.332092,Contractor_060,Agency_09,Delayed,normal,0,0.633,-10.2,168
P00336,Street Lighting Project 0336,Karnataka,Mysuru,MP_316,Street Lighting,330000.0,245000.0,228000.0,74.9,2024-02-10,2024-02-20,2024-09-26,,12.286002,76.686727,Contractor_046,Agency_07,Delayed,contractor_pattern,1,0.691,-5.8,229
P00337,Health Facility Project 0337,Karnataka,Belagavi,MP_415,Health Facility,3937000.0,3702000.0,3190000.0,70.6,2025-01-08,2025-01-18,2025-10-15,,15.908467,74.446759,Contractor_025,Agency_17,In Progress,normal,0,0.81,10.4,280
P00338,Street Lighting Project 0338,Rajasthan,Kota,MP_451,Street Lighting,1066000.0,833000.0,455000.0,43.6,2025-02-07,2025-02-17,2026-01-01,,25.102699,75.757499,Contractor_034,Agency_15,In Progress,normal,0,0.427,-0.9,328
P00339,Drinking Water Project 0339,Andhra Pradesh,Tirupati,MP_537,Drinking Water,2314000.0,1870000.0,1870000.0,100.0,2026-03-06,2026-03-16,2027-01-30,2027-03-08,13.579402,79.300504,Contractor_048,Agency_09,Completed,normal,0,0.808,-19.2,330
P00340,Drinking Water Project 0340,Odisha,Khordha,MP_138,Drinking Water,2213000.0,1726000.0,1726000.0,100.0,2024-06-09,2024-06-19,2024-11-13,2024-12-18,20.11988,85.668881,Contractor_052,Agency_02,Completed,normal,0,0.78,-22.0,157
P00341,Health Facility Project 0341,West Bengal,Darjeeling,MP_153,Health Facility,4005000.0,3040000.0,1259000.0,33.8,2025-01-18,2025-01-28,2025-07-20,,27.150092,88.28981,Contractor_029,Agency_07,In Progress,normal,0,0.314,-2.4,183
P00342,Community Hall Project 0342,Tamil Nadu,Chennai,MP_365,Community Hall,1175000.0,1064000.0,824000.0,73.8,2024-07-30,2024-08-09,2025-01-09,,13.067978,80.185419,Contractor_025,Agency_14,In Progress,normal,0,0.701,-3.7,163
P00343,Drinking Water Project 0343,Odisha,Sambalpur,MP_530,Drinking Water,1483000.0,1286000.0,1286000.0,87.8,2025-11-04,2025-11-14,2026-03-08,,21.555602,83.996655,Contractor_026,Agency_05,In Progress,normal,0,0.867,-1.1,124
P00344,Street Lighting Project 0344,Maharashtra,Nashik,MP_122,Street Lighting,1452000.0,882000.0,806000.0,52.4,2026-02-27,2026-03-09,2026-06-01,,19.983247,73.756274,Contractor_007,Agency_12,In Progress,normal,0,0.555,3.1,94
P00345,Drinking Water Project 0345,Andhra Pradesh,Visakhapatnam,MP_114,Drinking Water,7143000.0,7143000.0,6180000.0,68.8,2025-07-05,2025-07-15,2026-01-01,,17.584363,83.172845,Contractor_004,Agency_04,In Progress,financial,1,0.865,17.7,180
P00346,Health Facility Project 0346,Tamil Nadu,Madurai,MP_311,Health Facility,4743000.0,4312000.0,3891000.0,92.0,2025-06-19,2025-06-29,2026-07-03,,9.906055,78.234038,Contractor_060,Agency_09,In Progress,normal,0,0.82,-10.0,379
P00347,School Building Project 0347,Telangana,Warangal,MP_018,School Building,5284000.0,4734000.0,3932000.0,73.6,2025-08-05,2025-08-15,2026-05-05,,17.997677,79.636424,Contractor_008,Agency_07,Delayed,normal,0,0.744,0.8,273
P00348,Street Lighting Project 0348,Rajasthan,Kota,MP_160,Street Lighting,871000.0,722000.0,552000.0,63.9,2025-06-14,2025-06-24,2025-12-15,,25.11529,75.849791,Contractor_046,Agency_16,In Progress,geo,1,0.634,-0.5,184
P00349,Community Hall Project 0349,Tamil Nadu,Coimbatore,MP_388,Community Hall,2928000.0,2470000.0,2118000.0,67.6,2025-08-03,2025-08-13,2026-05-30,,11.065477,76.973062,Contractor_031,Agency_06,In Progress,normal,0,0.723,4.7,300
P00350,Health Facility Project 0350,Gujarat,Surat,MP_389,Health Facility,3415000.0,2216000.0,2216000.0,81.8,2024-11-28,2024-12-08,2025-10-05,,21.074603,72.926587,Contractor_054,Agency_14,In Progress,normal,0,0.649,-16.9,311
P00351,School Building Project 0351,Telangana,Warangal,MP_257,School Building,2959000.0,2378000.0,2159000.0,70.4,2026-03-17,2026-03-27,2027-01-21,,17.920069,79.574746,Contractor_050,Agency_03,In Progress,normal,0,0.73,2.6,310
P00352,Street Lighting Project 0352,Kerala,Kollam,MP_395,Street Lighting,302000.0,296000.0,180000.0,61.2,2024-12-16,2024-12-26,2025-07-11,,8.854329,76.654325,Contractor_018,Agency_20,In Progress,normal,0,0.596,-1.6,207
P00353,Street Lighting Project 0353,Karnataka,Bengaluru Urban,MP_365,Street Lighting,1319000.0,1277000.0,835000.0,28.31685504034126,2026-04-18,2026-04-28,2027-04-21,2027-12-24,13.012797,77.707626,Contractor_057,Agency_13,Delayed,delay,1,0.633,35.0,368
P00354,Road Project 0354,West Bengal,Howrah,MP_388,Road,1094000.0,696000.0,696000.0,77.9,2024-12-06,2024-12-16,2025-11-11,,22.706791,88.320046,Contractor_006,Agency_17,In Progress,normal,0,0.636,-14.3,340
P00355,Drinking Water Project 0355,Tamil Nadu,Salem,MP_213,Drinking Water,2140000.0,1669000.0,1669000.0,93.1,2025-04-09,2025-04-19,2025-10-09,,11.596295,78.083697,Contractor_056,Agency_11,In Progress,normal,0,0.78,-15.1,183
P00356,Health Facility Project 0356,Maharashtra,Nashik,MP_115,Health Facility,1871000.0,1759000.0,1759000.0,100.0,2024-12-31,2025-01-10,2025-04-21,2025-08-12,19.883187,73.771497,Contractor_006,Agency_03,Completed,normal,0,0.94,-6.0,111
P00357,Street Lighting Project 0357,Telangana,Karimnagar,MP_145,Street Lighting,1003000.0,782000.0,782000.0,78.5,2025-03-27,2025-04-06,2025-07-17,,18.417414,79.153944,Contractor_048,Agency_02,In Progress,normal,0,0.78,-0.5,112
P00358,Sports Facility Project 0358,Maharashtra,Pune,MP_116,Sports Facility,1139000.0,938000.0,817000.0,64.3,2024-06-06,2024-06-16,2024-12-19,,18.575785,73.873426,Contractor_007,Agency_09,In Progress,normal,0,0.717,7.4,196
P00359,Street Lighting Project 0359,Maharashtra,Aurangabad,MP_521,Street Lighting,1158000.0,673000.0,455000.0,34.3,2026-03-13,2026-03-23,2026-07-24,,19.893268,75.402931,Contractor_032,Agency_03,Delayed,normal,0,0.393,5.0,133
P00360,Sports Facility Project 0360,Andhra Pradesh,Visakhapatnam,MP_079,Sports Facility,1493000.0,882000.0,882000.0,80.8,2024-08-20,2024-08-30,2024-12-10,,17.663608,83.219151,Contractor_044,Agency_04,In Progress,normal,0,0.591,-21.7,112
P00361,Street Lighting Project 0361,Kerala,Ernakulam,MP_049,Street Lighting,366000.0,224000.0,193000.0,50.4,2024-06-20,2024-06-30,2025-01-18,,9.872125,76.221327,Contractor_001,Agency_08,In Progress,normal,0,0.527,2.3,212
P00362,Drinking Water Project 0362,Karnataka,Bengaluru Urban,MP_233,Drinking Water,1434000.0,1428000.0,1428000.0,100.0,2024-07-06,2024-07-16,2025-04-01,2025-06-10,12.972483,77.682438,Contractor_015,Agency_01,Completed,normal,0,0.996,-0.4,269
